"314","TSANG KOK",830162.45,810522.46,281.90
"315","LUNG KWU TAN",828922.01,810657.78,311.20
"316","BLACK POINT",829715.20,808369.53,136.40
"317","LUNG KWU CHAU",826671.97,806090.87,89.50
"318","SIU LANG SHUI",826233.84,811820.85,249.80
"319","PAK KOK",825943.73,814008.31,6.20
"320","SIU LAM",825445.58,818480.78,78.00
"322","SHA CHAU",822991.40,806715.36,63.30
"402","MA WAN",823322.01,824153.47,45.60
"403","TSING YI",824046.90,827140.43,219.30
"404","SHEK LUNG KUNG",826914.00,827061.10,475.50
"405","SHAM TSENG",826006.80,824184.48,226.80
"406","TIN FU TSAI",828621.25,825064.71,465.30
"407","PAK SHEK KIU",828757.13,827260.22,579.70
"408","KWAI SHING",824957.47,830786.39,129.20
"410","SMUGGLER'S RIDGE",826015.60,833096.83,337.90
"411","FU YUNG SHAN N",827162.31,830208.19,314.70
"412","NEEDLE HILL",827513.78,834594.95,533.30
"413","KWUN YAM SHAN",831879.08,830306.63,545.90
"414","LO UK PAT HEUNG",833230.68,828170.75,63.90
"415","TAI TO YAN",834622.31,830235.39,566.70
"416","PAK TAI TO YAN",836347.52,831240.91,480.90
"417","LIN TONG MEI",837932.80,829868.91,96.80
"418","HADDEN HILL",839734.07,827251.16,222.90
"419","TSUNG PAK LONG",840431.05,829979.46,16.90
"420","BIRD HILL",839032.49,834539.50,360.90
"421","HIGH HILL",841681.76,833106.52,164.90
"422","LO SHUE LING",844146.73,832411.20,75.80
"423","PING CHE",842915.60,835829.92,167.70
"424","PAK FU SHAN",846447.27,834640.43,99.10
"425","TAI WO",824415.02,832615.38,317.80
"426","NAM HANG",843689.73,830530.93,61.70
"427","MA TSO LUNG",842203.20,827505.91,109.10
"428","LOKMACHAU P STN",841342.09,826318.54,67.50
"429","KEI LAK TSAI",838083.42,831501.52,257.10
"501","TATE'S CAIRN",824288.89,840484.18,579.60
"502","WONG UK SHATIN",827060.22,838509.48,71.10
"503","TURRET HILL",828005.87,841142.77,400.90
"504","WO CHE",828116.07,837009.18,282.40
"505","KAU TO SHAN",829978.10,837800.30,400.50
"506","GRASSY HILL",830258.82,835135.79,648.10
"507","YIN NGAM",831953.39,832642.30,588.90
"512","MA SHI CHAU",835232.77,841844.59,115.80
"513","TUNG TAU CHAU",836690.50,845319.28,126.40
"514","MOUNT HALLOWES",835384.39,850444.81,373.50
"516","PLOVER COVE",839092.40,848725.93,296.30
"517","DOUBLE ISLAND",842501.11,850181.04,155.20
"518","WANG LENG",839303.55,844739.68,312.20
"519","TIU TANG LUNG",841295.34,844713.51,416.90
"520","A MA WAT",841760.89,842831.94,301.30
"521","YUNG SHUE AU",844819.66,843166.33,132.40
"523","LUK KENG",842525.88,840054.11,122.40
"524","WONG LENG",838846.48,839456.50,640.80
"525","KWAI TAU LENG",840735.23,838032.81,486.90
"526","PUN SHAN CHAU",832699.12,836055.07,283.70
"527","SAM MUN TSAI",834629.59,840072.26,97.50
"528","HONG LOK YUEN",836314.84,835247.85,289.70
"529","SHA LO TUNG",837836.14,837967.74,337.20
"530","TING KOK TSUEN",837229.38,840425.83,83.50
"531","HOK TAU RESR",839367.79,836300.81,279.00
"532","TAI PO IND EST",835680.83,837370.93,35.10
"533","SHEKAUSHAN F LO",839034.20,835895.12,293.20
"534","WUKAUTANG F LO",841754.64,842836.21,307.00
"535","LIN AU",834013.50,833173.03,196.10
"536","EAST PING CHAU",844326.29,862927.21,45.70
"537","BLUFF HEAD",840814.42,852226.37,153.40
"601","PAK KWO CHAU",814302.50,853983.83,106.90
"603","TIN HA SHAN",815325.26,847390.03,274.40
"604","JUNK ISLAND",815378.45,845760.94,100.70
"605","CLEAR WATER BAY",817645.14,849304.43,292.00
"606","HIGH JUNK PEAK",817416.84,847510.00,344.90
"607","BASALT ISLAND",819639.00,855690.51,174.70
"608","WING LUNG RD SK",819837.03,847179.83,139.80
"609","SHELTER ISLAND",820854.02,848748.21,118.40
"610","SHAW'S STUDIO",820964.78,845521.33,189.80
"613","RAZOR HILL",822173.74,844038.06,433.10
"614","PIK UK",822864.53,842888.29,313.40
"615","MA NAM WAT",824103.29,846374.48,116.20
"616","HO CHUNG",825046.56,844394.96,133.10
"617","BUFFALO HILL",825971.05,841950.29,606.10
"618","KAU SAI NORTH",826658.36,850220.70,56.80
"619","CHAM TAU CHAU",826689.84,847825.34,25.90
"621","NGAU LIU",828952.05,845935.54,285.00
"623","HIGH ISL RESR 1",827565.48,854212.60,233.30
"624","NAM FUNG WAN",827482.29,852303.88,205.00
"625","SAI KUNG PARK E",829404.56,853181.57,409.20
"626","TSAM CHUK WAN",828842.93,850156.60,318.30
"627","WONG MO YING",828771.96,848378.25,241.50
"628","PING TUN",830476.09,849405.51,380.30
"629","KAI KUNG SHAN",830742.33,847939.52,400.20
"630","WONG CHUK YEUNG",830286.77,845645.36,218.90
"631","SAI KUNG PARK W",831767.21,850919.90,452.70
"632","3-FATHOMS COVE",832748.70,847473.62,154.80
"633","SAM PUI CHAU",832334.94,845818.81,46.70
"634","SAI O",832628.75,844056.16,67.20
"635","SHAM CHUNG",834145.73,847320.18,181.50
"636","PO PIN CHAU",824360.09,856170.69,210.50
"637","SAI WAN SHAN",827565.04,856948.68,315.10
"638","TAI MUN SHAN",830698.15,855619.98,370.80
"639","CHEK KENG",831979.73,855240.66,228.10
"640","PAK TAM AU",831338.16,852939.64,264.40
"641","TAI TAN",833916.38,852852.27,132.70
"642","PAK SHA O",834009.61,851432.15,257.90
"643","LAI CHI CHONG",835021.03,848715.59,102.80
"644","KAU LAU WAN",835047.00,855632.94,120.40
"646","TAP MUN",837960.77,855153.67,126.50
"647","TAI SHEUNG TOK",820630.35,842606.80,420.10
"648","WONG MAU CHAU",834353.28,858678.78,20.10
"649","TAI LONG TSUI",830417.46,859499.65,99.00
"650","KAU SAI CHAU S",823628.13,849951.51,217.80
"651","MA ON SHAN",829971.36,844048.82,703.60
"652","PYRAMID HILL",828612.86,844089.45,537.00
"602.1","FAT TONG POINT",814180.04,849501.53,128.10
"621.1","NGAU LIU F LO",828955.91,845943.14,289.80
